id,pregunta,comodin,tipo
1,¿Cuál es el nombre del personaje principal que el jugador puede elegir al inicio del juego en Genshin Impact?,publico,porcentajes
2,¿Cuál es el nombre del personaje principal que el jugador puede elegir al inicio del juego en Genshin Impact?,50-50,respuestas
3,¿Cuál es el nombre del personaje principal que el jugador puede elegir al inicio del juego en Genshin Impact?,llamada,pista
4,¿Cuántos personajes principales se pueden controlar en GTA V?,publico,porcentajes
5,¿Cuántos personajes principales se pueden controlar en GTA V?,50-50,respuestas
6,¿Cuántos personajes principales se pueden controlar en GTA V?,llamada,pista
7,¿Cuál es el nombre del modo de juego en Fortnite donde los jugadores compiten para ser el último en pie?,publico,porcentajes
8,¿Cuál es el nombre del modo de juego en Fortnite donde los jugadores compiten para ser el último en pie?,50-50,respuestas
9,¿Cuál es el nombre del modo de juego en Fortnite donde los jugadores compiten para ser el último en pie?,llamada,pista
10,¿Qué material necesitas para construir un portal al Nether en Minecraft?,publico,porcentajes
11,¿Qué material necesitas para construir un portal al Nether en Minecraft?,50-50,respuestas
12,¿Qué material necesitas para construir un portal al Nether en Minecraft?,llamada,pista
13,¿Qué dispositivos se usan comúnmente para jugar Osu!?,publico,porcentajes
14,¿Qué dispositivos se usan comúnmente para jugar Osu!?,50-50,respuestas
15,¿Qué dispositivos se usan comúnmente para jugar Osu!?,llamada,pista
16,¿Qué mod en Osu! aumenta la velocidad de la canción y las notas?,publico,porcentajes
17,¿Qué mod en Osu! aumenta la velocidad de la canción y las notas?,50-50,respuestas
18,¿Qué mod en Osu! aumenta la velocidad de la canción y las notas?,llamada,pista
19,¿Qué componente de la computadora es responsable de ejecutar programas y procesar datos?,publico,porcentajes
20,¿Qué componente de la computadora es responsable de ejecutar programas y procesar datos?,50-50,respuestas
21,¿Qué componente de la computadora es responsable de ejecutar programas y procesar datos?,llamada,pista
22,¿Qué tipo de memoria es volátil y se utiliza para almacenar datos temporalmente mientras la computadora está encendida?,publico,porcentajes
23,¿Qué tipo de memoria es volátil y se utiliza para almacenar datos temporalmente mientras la computadora está encendida?,50-50,respuestas
24,¿Qué tipo de memoria es volátil y se utiliza para almacenar datos temporalmente mientras la computadora está encendida?,llamada,pista
25,¿Qué dispositivo de almacenamiento utiliza discos magnéticos para almacenar datos?,publico,porcentajes
26,¿Qué dispositivo de almacenamiento utiliza discos magnéticos para almacenar datos?,50-50,respuestas
27,¿Qué dispositivo de almacenamiento utiliza discos magnéticos para almacenar datos?,llamada,pista
28,¿Qué componente es responsable de convertir la corriente alterna (AC) de la toma de corriente en corriente continua (DC) utilizada por la computadora?,publico,porcentajes
29,¿Qué componente es responsable de convertir la corriente alterna (AC) de la toma de corriente en corriente continua (DC) utilizada por la computadora?,50-50,respuestas
30,¿Qué componente es responsable de convertir la corriente alterna (AC) de la toma de corriente en corriente continua (DC) utilizada por la computadora?,llamada,pista
31,¿Cuál es el nombre del componente que conecta todos los demás componentes de la computadora y permite la comunicación entre ellos?,publico,porcentajes
32,¿Cuál es el nombre del componente que conecta todos los demás componentes de la computadora y permite la comunicación entre ellos?,50-50,respuestas
33,¿Cuál es el nombre del componente que conecta todos los demás componentes de la computadora y permite la comunicación entre ellos?,llamada,pista
34,¿Qué tipo de memoria no volátil se utiliza comúnmente para almacenar el sistema operativo y los archivos del usuario en una computadora moderna?,publico,porcentajes
35,¿Qué tipo de memoria no volátil se utiliza comúnmente para almacenar el sistema operativo y los archivos del usuario en una computadora moderna?,50-50,respuestas
36,¿Qué tipo de memoria no volátil se utiliza comúnmente para almacenar el sistema operativo y los archivos del usuario en una computadora moderna?,llamada,pista
37,¿Qué interfaz comúnmente utilizada conecta dispositivos periféricos como ratones y teclados a la computadora?,publico,porcentajes
38,¿Qué interfaz comúnmente utilizada conecta dispositivos periféricos como ratones y teclados a la computadora?,50-50,respuestas
39,¿Qué interfaz comúnmente utilizada conecta dispositivos periféricos como ratones y teclados a la computadora?,llamada,pista
40,¿Qué tecnología de pantalla utiliza diodos emisores de luz para producir imágenes y es conocida por su alta eficiencia energética y contraste?,publico,porcentajes
41,¿Qué tecnología de pantalla utiliza diodos emisores de luz para producir imágenes y es conocida por su alta eficiencia energética y contraste?,50-50,respuestas
42,¿Qué tecnología de pantalla utiliza diodos emisores de luz para producir imágenes y es conocida por su alta eficiencia energética y contraste?,llamada,pista
43,¿Qué tipo de memoria es utilizada para almacenar las instrucciones básicas del sistema y no se borra al apagar la computadora?,publico,porcentajes
44,¿Qué tipo de memoria es utilizada para almacenar las instrucciones básicas del sistema y no se borra al apagar la computadora?,50-50,respuestas
45,¿Qué tipo de memoria es utilizada para almacenar las instrucciones básicas del sistema y no se borra al apagar la computadora?,llamada,pista
