pregunta,pista 
¿Cuál es el nombre del personaje principal que el jugador puede elegir al inicio del juego en Genshin Impact?,son gemelos
¿Cuántos personajes principales se pueden controlar en GTA V?, uno de ellos es Michael
¿Cuál es el nombre del modo de juego en Fortnite donde los jugadores compiten para ser el último en pie?,es el mas popular
¿Qué material necesitas para construir un portal al Nether en Minecraft?,se consigue mediante lava
¿Qué dispositivos se usan comúnmente para jugar Osu?, lo usan generalmente los profesionales
¿Cuál es el nombre de la región inspirada en China dentro del juego?, el Arconte de esa region se llama Zhongli
¿Cuál es el nombre del banco que Michael y Trevor roban al inicio de la historia?, Se encuentra en Ludendorff
¿Qué temporada introdujo el evento de colaboración con Marvel que incluía a personajes como Iron Man y Thor?, se encuentra dentro de la temporada 4
¿Cómo se llama la actualización que añadió el Netherite al juego?, es necesaria esta pista? 
¿Qué mod en Osu! aumenta la velocidad de la canción y las notas?, Doble time 
¿Qué componente de la computadora es responsable de ejecutar programas y procesar datos?, Unidad Central de Procesamiento
¿Qué tipo de memoria es volátil y se utiliza para almacenar datos temporalmente mientras la computadora está encendida?, Memoria de Acceso Aleatorio
¿Qué dispositivo de almacenamiento utiliza discos magnéticos para almacenar datos?,HDD
¿Qué componente es responsable de convertir la corriente alterna (AC) de la toma de corriente en corriente continua (DC) utilizada por la computadora?, PSU
¿Cuál es el nombre del componente que conecta todos los demás componentes de la computadora y permite la comunicación entre ellos?,Motherboard
¿Qué tipo de memoria no volátil se utiliza comúnmente para almacenar el sistema operativo y los archivos del usuario en una computadora moderna?,Unidad de Estado Sólido
¿Qué interfaz comúnmente utilizada conecta dispositivos periféricos como ratones y teclados a la computadora?,Universal Serial Bus
¿Qué tecnología de pantalla utiliza diodos emisores de luz para producir imágenes y es conocida por su alta eficiencia energética y contraste?,Diodo Orgánico Emisor de Luz
¿Qué tipo de memoria es utilizada para almacenar las instrucciones básicas del sistema y no se borra al apagar la computadora?,Memoria de Solo Lectura
¿Qué tecnología de expansión permite añadir tarjetas adicionales, Interconexión de Componentes Periféricos Express

